Open,CLose,High,Low,Volume,Time
2.653497000000000116e+04,2.655000000000000000e+04,2.648200000000000000e+04,2.648600000000000000e+04,5.623594100000000253e+02,1.687093200000000000e+12
2.648600999999999840e+04,2.657334999999999854e+04,2.645700000000000000e+04,2.654999000000000160e+04,1.462337960000000066e+03,1.687096800000000000e+12
2.655000000000000000e+04,2.657000000000000000e+04,2.652691999999999825e+04,2.656209000000000015e+04,7.025736900000000560e+02,1.687100400000000000e+12
2.656209000000000015e+04,2.664974000000000160e+04,2.652599000000000160e+04,2.662011999999999898e+04,1.118558099999999968e+03,1.687104000000000000e+12
2.662011000000000058e+04,2.665799000000000160e+04,2.656061999999999898e+04,2.663000000000000000e+04,7.193916400000000522e+02,1.687107600000000000e+12
2.663000000000000000e+04,2.664354000000000087e+04,2.658208000000000175e+04,2.662086999999999898e+04,5.270238600000000133e+02,1.687111200000000000e+12
2.662086999999999898e+04,2.665100000000000000e+04,2.660000999999999840e+04,2.665000000000000000e+04,4.693378999999999905e+02,1.687114800000000000e+12
2.665000999999999840e+04,2.670000000000000000e+04,2.635509999999999854e+04,2.647374000000000160e+04,2.454337359999999990e+03,1.687118400000000000e+12
2.647374000000000160e+04,2.648700999999999840e+04,2.639615999999999985e+04,2.641534000000000015e+04,7.485724199999999655e+02,1.687122000000000000e+12
2.641534000000000015e+04,2.645913999999999942e+04,2.637800000000000000e+04,2.640225999999999840e+04,7.259271099999999706e+02,1.687125600000000000e+12
2.640225999999999840e+04,2.646129999999999927e+04,2.625584999999999854e+04,2.633997000000000116e+04,2.223316569999999956e+03,1.687129200000000000e+12
2.633997999999999956e+04,2.640000000000000000e+04,2.625661000000000058e+04,2.636609999999999854e+04,1.243350860000000011e+03,1.687132800000000000e+12
2.636609999999999854e+04,2.645000000000000000e+04,2.634825999999999840e+04,2.643743000000000029e+04,5.713097599999999829e+02,1.687136400000000000e+12
2.643743999999999869e+04,2.646958000000000175e+04,2.642259999999999854e+04,2.644633000000000175e+04,5.294529700000000503e+02,1.687140000000000000e+12
2.644633000000000175e+04,2.645393999999999869e+04,2.638000000000000000e+04,2.640336000000000058e+04,4.745500000000000114e+02,1.687143600000000000e+12
2.640336000000000058e+04,2.643690999999999985e+04,2.636900000000000000e+04,2.642854999999999927e+04,6.933889000000000351e+02,1.687147200000000000e+12
2.642854000000000087e+04,2.646738999999999942e+04,2.642400000000000000e+04,2.646559000000000015e+04,5.868600199999999631e+02,1.687150800000000000e+12
2.646559999999999854e+04,2.647886999999999898e+04,2.640372999999999956e+04,2.642797999999999956e+04,9.512395599999999831e+02,1.687154400000000000e+12
2.642799000000000160e+04,2.643975999999999840e+04,2.638147999999999956e+04,2.642800999999999840e+04,6.938589399999999614e+02,1.687158000000000000e+12
2.642800000000000000e+04,2.645918000000000029e+04,2.639045000000000073e+04,2.641725000000000000e+04,7.618268500000000358e+02,1.687161600000000000e+12
2.641725000000000000e+04,2.643200000000000000e+04,2.636440000000000146e+04,2.640102999999999884e+04,6.822667500000000018e+02,1.687165200000000000e+12
2.640102000000000044e+04,2.642997999999999956e+04,2.637029000000000087e+04,2.637799000000000160e+04,6.736435599999999795e+02,1.687168800000000000e+12
2.637800000000000000e+04,2.644800000000000000e+04,2.636608000000000175e+04,2.644772999999999956e+04,7.071658700000000408e+02,1.687172400000000000e+12
2.644772999999999956e+04,2.657600000000000000e+04,2.642925999999999840e+04,2.653138999999999942e+04,1.618708570000000009e+03,1.687176000000000000e+12
2.653138999999999942e+04,2.657686999999999898e+04,2.650054000000000087e+04,2.653516999999999825e+04,1.011257960000000026e+03,1.687179600000000000e+12
2.653516999999999825e+04,2.653995999999999913e+04,2.638429999999999927e+04,2.642322999999999956e+04,1.613247219999999970e+03,1.687183200000000000e+12
2.642324000000000160e+04,2.645600000000000000e+04,2.634800999999999840e+04,2.644400000000000000e+04,1.203695780000000013e+03,1.687186800000000000e+12
2.644399000000000160e+04,2.653431999999999971e+04,2.630845000000000073e+04,2.649965000000000146e+04,1.904217740000000049e+03,1.687190400000000000e+12
2.649963999999999942e+04,2.670400000000000000e+04,2.648400000000000000e+04,2.666506000000000131e+04,2.820293320000000222e+03,1.687194000000000000e+12
2.666506000000000131e+04,2.706809000000000015e+04,2.648200000000000000e+04,2.649600000000000000e+04,8.647535110000000714e+03,1.687197600000000000e+12
2.649599000000000160e+04,2.670409999999999854e+04,2.636999000000000160e+04,2.668227999999999884e+04,3.224037670000000162e+03,1.687201200000000000e+12
2.668229000000000087e+04,2.685936000000000058e+04,2.667861000000000058e+04,2.672399000000000160e+04,2.498575380000000223e+03,1.687204800000000000e+12
2.672400000000000000e+04,2.677018999999999869e+04,2.665218999999999869e+04,2.677018000000000029e+04,1.051538999999999987e+03,1.687208400000000000e+12
2.677018999999999869e+04,2.683177000000000044e+04,2.673404000000000087e+04,2.675499000000000160e+04,9.416419899999999643e+02,1.687212000000000000e+12
2.675497999999999956e+04,2.685779999999999927e+04,2.672327000000000044e+04,2.684434999999999854e+04,7.689959599999999682e+02,1.687215600000000000e+12
2.684434999999999854e+04,2.703149000000000160e+04,2.679868000000000029e+04,2.698227999999999884e+04,2.080975230000000010e+03,1.687219200000000000e+12
2.698229000000000087e+04,2.717902999999999884e+04,2.688134999999999854e+04,2.690231000000000131e+04,3.256224119999999857e+03,1.687222800000000000e+12
2.690231999999999971e+04,2.694525000000000000e+04,2.687595999999999913e+04,2.691450000000000000e+04,1.076939190000000053e+03,1.687226400000000000e+12
2.691450999999999840e+04,2.697229999999999927e+04,2.688800000000000000e+04,2.689652000000000044e+04,1.096269549999999981e+03,1.687230000000000000e+12
2.689652999999999884e+04,2.696963999999999942e+04,2.689652000000000044e+04,2.696593999999999869e+04,8.935652400000000171e+02,1.687233600000000000e+12
2.696593999999999869e+04,2.703324000000000160e+04,2.679400999999999840e+04,2.682045999999999913e+04,2.045500270000000000e+03,1.687237200000000000e+12
2.682136000000000058e+04,2.684359999999999854e+04,2.675500000000000000e+04,2.678915000000000146e+04,1.377188490000000002e+03,1.687240800000000000e+12
2.678915000000000146e+04,2.684000000000000000e+04,2.675875999999999840e+04,2.683243999999999869e+04,8.092575399999999490e+02,1.687244400000000000e+12
2.683245000000000073e+04,2.683740000000000146e+04,2.674000000000000000e+04,2.675425000000000000e+04,1.430991150000000061e+03,1.687248000000000000e+12
2.675424000000000160e+04,2.681468000000000029e+04,2.670247000000000116e+04,2.678056000000000131e+04,1.091144389999999930e+03,1.687251600000000000e+12
2.678056999999999971e+04,2.683152000000000044e+04,2.674890999999999985e+04,2.677597999999999956e+04,8.937833600000000160e+02,1.687255200000000000e+12
2.677599000000000160e+04,2.691200000000000000e+04,2.675400000000000000e+04,2.690799000000000160e+04,1.134443330000000060e+03,1.687258800000000000e+12
2.690799000000000160e+04,2.698000000000000000e+04,2.683461999999999898e+04,2.685199000000000160e+04,2.026362429999999904e+03,1.687262400000000000e+12
2.685199000000000160e+04,2.695000000000000000e+04,2.678327000000000044e+04,2.681200999999999840e+04,1.821683870000000070e+03,1.687266000000000000e+12
2.681200000000000000e+04,2.684597000000000116e+04,2.665200000000000000e+04,2.678000000000000000e+04,2.224023479999999836e+03,1.687269600000000000e+12
2.678000000000000000e+04,2.713472999999999956e+04,2.674000000000000000e+04,2.707193000000000029e+04,2.863754609999999957e+03,1.687273200000000000e+12
2.707193999999999869e+04,2.739500000000000000e+04,2.700172999999999956e+04,2.738054000000000087e+04,7.125200969999999870e+03,1.687276800000000000e+12
2.738054999999999927e+04,2.796500000000000000e+04,2.733984999999999854e+04,2.779600000000000000e+04,1.076448177000000032e+04,1.687280400000000000e+12
2.779600000000000000e+04,2.814000000000000000e+04,2.777800000000000000e+04,2.807054000000000087e+04,7.564053429999999935e+03,1.687284000000000000e+12
2.807052999999999884e+04,2.811029000000000087e+04,2.778813000000000102e+04,2.798277000000000044e+04,5.015379609999999957e+03,1.687287600000000000e+12
2.798277000000000044e+04,2.824977999999999884e+04,2.787200000000000000e+04,2.815799000000000160e+04,4.647763960000000225e+03,1.687291200000000000e+12
2.815800000000000000e+04,2.830640999999999985e+04,2.806790999999999985e+04,2.813000000000000000e+04,3.007148700000000190e+03,1.687294800000000000e+12
2.813000000000000000e+04,2.827097999999999956e+04,2.810429999999999927e+04,2.821347000000000116e+04,2.099297849999999926e+03,1.687298400000000000e+12
2.821347000000000116e+04,2.840274000000000160e+04,2.814766999999999825e+04,2.830799000000000160e+04,3.321522710000000188e+03,1.687302000000000000e+12
2.830800000000000000e+04,2.849034999999999854e+04,2.825799000000000160e+04,2.841400000000000000e+04,4.203051720000000387e+03,1.687305600000000000e+12
2.841399000000000160e+04,2.908809000000000015e+04,2.839531000000000131e+04,2.878593000000000029e+04,7.635672770000000128e+03,1.687309200000000000e+12
2.878593000000000029e+04,2.889902000000000044e+04,2.875915000000000146e+04,2.878904999999999927e+04,2.735893120000000181e+03,1.687312800000000000e+12
2.878904999999999927e+04,2.880375999999999840e+04,2.867800000000000000e+04,2.871115000000000146e+04,2.577840400000000045e+03,1.687316400000000000e+12
2.871115000000000146e+04,2.880765000000000146e+04,2.868000000000000000e+04,2.878552999999999884e+04,2.715909400000000005e+03,1.687320000000000000e+12
2.878509999999999854e+04,2.899000000000000000e+04,2.877088999999999942e+04,2.898202000000000044e+04,2.947987110000000030e+03,1.687323600000000000e+12
2.898200999999999840e+04,2.900500000000000000e+04,2.877186999999999898e+04,2.885800999999999840e+04,3.655796499999999924e+03,1.687327200000000000e+12
2.885800999999999840e+04,2.891965999999999985e+04,2.882363999999999942e+04,2.887227999999999884e+04,1.940584329999999909e+03,1.687330800000000000e+12
2.887227999999999884e+04,2.891499000000000160e+04,2.878770000000000073e+04,2.882440999999999985e+04,2.167512259999999969e+03,1.687334400000000000e+12
2.882440999999999985e+04,2.896288000000000102e+04,2.882113000000000102e+04,2.892368999999999869e+04,1.963168920000000071e+03,1.687338000000000000e+12
